Город,Регион,Лаборатории
Алагир,Республика Северная Осетия — Алания,Инвитро
Алатырь,Чувашская Республика,Инвитро
Александров,Владимирская область,Инвитро
Алексеевка,Белгородская область,Инвитро
Алексин,Тульская область,Инвитро
Алушта,Республика Крым,"Инвитро, Хеликс"
Анапа,Краснодарский край,КДЛ
Ангарск,Иркутская область,Инвитро
Аргун,Чеченская Республика,Инвитро
Ардон,Республика Северная Осетия — Алания,Хеликс
Армавир,Краснодарский край,КДЛ
Армянск,Республика Крым,Инвитро
Арсеньев,Приморский край,Инвитро
Артём,Приморский край,Инвитро
Архангельск,Архангельская область,"Инвитро, Хеликс"
Астрахань,Астраханская область,КДЛ
Аша,Челябинская область,Инвитро
Баксан,Кабардино-Балкарская Республика,"Инвитро, Хеликс"
Балабаново,Калужская область,Инвитро
Балаково,Саратовская область,КДЛ
Балашиха,Московская область,КДЛ
Барнаул,Алтайский край,"Инвитро, КДЛ, Хеликс"
Бахчисарай,Республика Крым,"Инвитро, Хеликс"
Белая Калитва,Ростовская область,КДЛ
Белгород,Белгородская область,Инвитро
Белово,Кемеровская область,КДЛ
Белогорск,Амурская область,"Инвитро, Хеликс"
Бердск,Новосибирская область,КДЛ
Березники,Пермский край,КДЛ
Бийск,Алтайский край,"Инвитро, Хеликс"
Благовещенск,Амурская область,Инвитро
Благодарный,Ставропольский край,"Инвитро, Хеликс"
Богородицк,Тульская область,Инвитро
Большой Камень,Приморский край,Инвитро
Борисовка,Белгородская область,Инвитро
Боровичи,Новгородская область,"Инвитро, Хеликс"
Боровск,Калужская область,Инвитро
Братск,Иркутская область,Инвитро
Брянск,Брянская область,Инвитро
Бугуруслан,Оренбургская область,Инвитро
Будённовск,Ставропольский край,"Инвитро, Хеликс"
Бузулук,Оренбургская область,Инвитро
Буйнакск,Республика Дагестан,"Инвитро, Хеликс"
Валуйки,Белгородская область,Инвитро
Великие Луки,Псковская область,"Инвитро, Хеликс"
Великий Новгород,Новгородская область,"Инвитро, Хеликс"
Верхнеуральск,Челябинская область,Инвитро
Верхний Уфалей,Челябинская область,Инвитро
Вичуга,Ивановская область,Инвитро
Владивосток,Приморский край,Инвитро
Владикавказ,Республика Северная Осетия — Алания,"Инвитро, Хеликс"
Владимир,Владимирская область,"Инвитро, Хеликс"
Волгоград,Волгоградская область,"Инвитро, КДЛ"
Волжск,Республика Марий Эл,Инвитро
Волжский,Волгоградская область,"Инвитро, КДЛ"
Вологда,Вологодская область,Хеликс
Воронеж,Воронежская область,КДЛ
Воткинск,Удмуртская республика,Инвитро
Всеволожск,Ленинградская область,КДЛ
Вязники,Владимирская область,Инвитро
Вязьма,Смоленская область,Инвитро
Гай,Оренбургская область,Инвитро
Геленджик,Краснодарский край,КДЛ
Георгиевск,Ставропольский край,Инвитро
Горно-Алтайск,Алтайский край,Инвитро
Гороховец,Владимирская область,Инвитро
Грозный,Чеченская Республика,"Инвитро, Хеликс"
Губкин,Белгородская область,Инвитро
Гусев,Калининградская область,Инвитро
Гусь-Хрустальный,Владимирская область,Инвитро
Дагестанские Огни,Республика Дагестан,Хеликс
Дербент,Республика Дагестан,"Инвитро, Хеликс"
Десногорск,Смоленская область,Инвитро
Джанкой,Республика Крым,"Инвитро, Хеликс"
Дзержинский,Московская область,КДЛ
Дигора,Республика Северная Осетия — Алания,Хеликс
Долгопрудный,Московская область,КДЛ
Домодедово,Московская область,КДЛ
Дятьково,Брянская область,Инвитро
Евпатория,Республика Крым,"Инвитро, Хеликс"
Екатеринбург,Свердловская область,КДЛ
Елец,Липецкая область,Инвитро
Еманжелинск,Челябинская область,Инвитро
Ессентуки,Ставропольский край,"Инвитро, Хеликс"
Еткуль,Челябинская область,Инвитро
Железноводск,Ставропольский край,Инвитро
Железногорск,Красноярский край,"Инвитро, КДЛ, Хеликс"
Жигулёвск,Самарская область,Инвитро
Заринск,Алтайский край,Инвитро
Засечное,Пензенская область,Хеликс
Зеленокумск,Ставропольский край,Инвитро
Златоуст,Челябинская область,Инвитро
Зубова Поляна,Республика Мордовия,Инвитро
Иваново,Ивановская область,"Инвитро, Хеликс"
Ижевск,Удмуртская республика,Инвитро
Избербаш,Республика Дагестан,Инвитро
Изобильный,Ставропольский край,Инвитро
Ипатово,Ставропольский край,Инвитро
Иркутск,Иркутская область,"Инвитро, Хеликс"
Йошкар-Ола,Республика Марий Эл,Инвитро
Казань,Республика Татарстан,КДЛ
Калининград,Калининградская область,"Инвитро, Хеликс"
Калуга,Калужская область,"Инвитро, Хеликс"
Каменск-Уральский,Свердловская область,КДЛ
Каменск-Шахтинский,Ростовская область,КДЛ
Камень-на-Оби,Алтайский край,Инвитро
Камышин,Волгоградская область,Инвитро
Канаш,Чувашская Республика,Хеликс
Карабаш,Челябинская область,Инвитро
Карачаевск,Карачаево-Черкесская Республика,"Инвитро, Хеликс"
Карталы,Челябинская область,Инвитро
Касимов,Рязанская область,Инвитро
Касли,Челябинская область,Инвитро
Каспийск,Республика Дагестан,Инвитро
Касумкент,Республика Дагестан,Хеликс
Катав-Ивановск,Челябинская область,Инвитро
Каякент,Республика Дагестан,Хеликс
Кемерово,Кемеровская область,КДЛ
Керчь,Республика Крым,"Инвитро, Хеликс"
Кизилюрт,Республика Дагестан,"Инвитро, Хеликс"
Кизляр,Республика Дагестан,Инвитро
Кимовск,Тульская область,Инвитро
Кинель-Черкассы,Самарская область,Инвитро
Кинешма,Ивановская область,Инвитро
Киржач,Владимирская область,Инвитро
Киров,Калужская область,Инвитро
Кисловодск,Ставропольский край,"Инвитро, Хеликс"
Клинцы,Брянская область,Инвитро
Ковров,Владимирская область,Инвитро
Ковылкино,Республика Мордовия,Инвитро
Когалым,Ханты-Мансийский АО,Инвитро
Козельск,Калужская область,Инвитро
Козьмодемьянск,Республика Марий Эл,Хеликс
Кольчугино,Владимирская область,Инвитро
Комсомольск-на-Амуре,Хабаровский край,Инвитро
Кондопога,Республика Карелия,Инвитро
Копейск,Челябинская область,Инвитро
Коркино,Челябинская область,Инвитро
Королёв,Московская область,КДЛ
Кострома,Костромская область,Инвитро
Котельники,Московская область,КДЛ
Красногорск,Московская область,КДЛ
Краснодар,Краснодарский край,КДЛ
Краснознаменск,Московская область,КДЛ
Красноперекопск,Республика Крым,Инвитро
Красноярск,Красноярский край,КДЛ
Кузнецк,Пензенская область,Инвитро
Кунашак,Челябинская область,Инвитро
Курган,Курганская область,Инвитро
Курск,Курская область,"Инвитро, Хеликс"
Куртамыш,Курганская область,Инвитро
Курчатов,Курская область,Инвитро
Куса,Челябинская область,Инвитро
Кыштым,Челябинская область,"Инвитро, Хеликс"
Лебедянь,Липецкая область,Инвитро
Ленинск-Кузнецкий,Кемеровская область,КДЛ
Лермонтов,Ставропольский край,Инвитро
Лесозаводск,Приморский край,Инвитро
Ливны,Орловская область,"Инвитро, Хеликс"
Липецк,Липецкая область,Инвитро
Лобня,Московская область,КДЛ
Людиново,Калужская область,"Инвитро, Хеликс"
Лянтор,Ханты-Мансийский АО,Инвитро
Магарамкент,Республика Дагестан,Хеликс
Магнитогорск,Челябинская область,Инвитро
Майкоп,Республика Адыгея,"Инвитро, КДЛ"
Майский,Кабардино-Балкарская Республика,"Инвитро, Хеликс"
Малая Вишера,Новгородская область,Хеликс
Малгобек,Республика Ингушетия,Инвитро
Малоярославец,Калужская область,Инвитро
Махачкала,Республика Дагестан,"Инвитро, Хеликс"
Мегион,Ханты-Мансийский АО,"Инвитро, Хеликс"
Медногорск,Оренбургская область,Инвитро
Миасс,Челябинская область,Инвитро
Минеральные Воды,Ставропольский край,"Инвитро, Хеликс"
Михайлов,Рязанская область,"Инвитро, Хеликс"
Михайловка,Волгоградская область,Инвитро
Михайловск,Ставропольский край,Хеликс
Мичуринск,Тамбовская область,Инвитро
Моздок,Республика Северная Осетия — Алания,Инвитро
Моршанск,Тамбовская область,Инвитро
Москва,Москва,"КДЛ, Медси"
Мурманск,Мурманская область,"Инвитро, Хеликс"
Муром,Владимирская область,Инвитро
Мценск,Орловская область,Инвитро
Мытищи,Московская область,КДЛ
Набережные Челны,Республика Татарстан,КДЛ
Назрань,Республика Ингушетия,Инвитро
Нальчик,Кабардино-Балкарская Республика,"Инвитро, Хеликс"
Нарткала,Кабардино-Балкарская Республика,"Инвитро, Хеликс"
Находка,Приморский край,Инвитро
Невинномысск,Ставропольский край,"Инвитро, Хеликс"
Нерюнгри,Республика Саха (Якутия),Инвитро
Нефтегорск,Самарская область,Инвитро
Нефтекамск,Республика Башкортостан,КДЛ
Нефтекумск,Ставропольский край,"Инвитро, Хеликс"
Нефтеюганск,Ханты-Мансийский АО,"Инвитро, Хеликс"
Нижневартовск,Ханты-Мансийский АО,"Инвитро, КДЛ, Хеликс"
Нижнее Казанище,Республика Дагестан,Хеликс
Нижний Новгород,Нижегородская область,КДЛ
Новоалександровск,Ставропольский край,Инвитро
Новоалтайск,Алтайский край,Инвитро
Новодвинск,Архангельская область,Инвитро
Новозыбков,Брянская область,Инвитро
Новокузнецк,Кемеровская область,КДЛ
Новокуйбышевск,Самарская область,Инвитро
Новомичуринск,Рязанская область,Инвитро
Новомосковск,Тульская область,Инвитро
Новоорск,Оренбургская область,Инвитро
Новопавловск,Ставропольский край,Инвитро
Новороссийск,Краснодарский край,КДЛ
Новосибирск,Новосибирская область,КДЛ
Новотроицк,Оренбургская область,Инвитро
Новочебоксарск,Чувашская Республика,Хеликс
Новочеркасск,Ростовская область,КДЛ
Новый Оскол,Белгородская область,Инвитро
Новый Уренгой,Ямало-Ненецкий АО,Инвитро
Ноябрьск,Ямало-Ненецкий АО,Инвитро
Нягань,Ханты-Мансийский АО,Инвитро
Обнинск,Калужская область,"Инвитро, Хеликс"
Обоянь,Курская область,Инвитро
Одинцово,Московская область,КДЛ
Озёрск,Челябинская область,"Инвитро, Хеликс"
Октябрьский,Республика Башкортостан,КДЛ
Омск,Омская область,КДЛ
Оренбург,Оренбургская область,"Инвитро, Хеликс"
Орск,Оренбургская область,"Инвитро, Хеликс"
Орёл,Орловская область,"Инвитро, Хеликс"
Остров,Псковская область,Хеликс
Отрадный,Самарская область,Инвитро
Пенза,Пензенская область,"Инвитро, КДЛ, Хеликс"
Пермь,Пермский край,КДЛ
Петрозаводск,Республика Карелия,"Инвитро, Хеликс"
Пионерский,Калининградская область,Хеликс
Пласт,Челябинская область,Инвитро
Подольск,Московская область,КДЛ
Порхов,Псковская область,Хеликс
Похвистнево,Самарская область,Инвитро
Прокопьевск,Кемеровская область,КДЛ
Прохладный,Кабардино-Балкарская Республика,"Инвитро, Хеликс"
Псков,Псковская область,"Инвитро, Хеликс"
Пыть-Ях,Ханты-Мансийский АО,Инвитро
Пятигорск,Ставропольский край,Инвитро
Ракитное,Белгородская область,Инвитро
Раменское,Московская область,КДЛ
Реутов,Московская область,КДЛ
Родники,Ивановская область,Инвитро
Рославль,Смоленская область,Инвитро
Ростов-на-Дону,Ростовская область,КДЛ
Рубцовск,Алтайский край,Инвитро
Рузаевка,Республика Мордовия,Инвитро
Рыбинск,Ярославская область,КДЛ
Рыбное,Рязанская область,Инвитро
Ряжск,Рязанская область,Инвитро
Рязань,Рязанская область,"Инвитро, Хеликс"
Саки,Республика Крым,"Инвитро, Хеликс"
Салават,Республика Башкортостан,КДЛ
Салехард,Ямало-Ненецкий АО,Инвитро
Самара,Самарская область,Инвитро
Санкт-Петербург,Санкт-Петербург,"КДЛ, Медси, Хромолаб"
Саракташ,Оренбургская область,Инвитро
Саранск,Республика Мордовия,"Инвитро, Хеликс"
Саратов,Саратовская область,КДЛ
Сасово,Рязанская область,Инвитро
Сатка,Челябинская область,Инвитро
Сафоново,Смоленская область,"Инвитро, Хеликс"
Светлоград,Ставропольский край,"Инвитро, Хеликс"
Светлый,Калининградская область,Инвитро
Свободный,Амурская область,Инвитро
Севастополь,Республика Крым,"Инвитро, Хеликс"
Северодвинск,Архангельская область,Инвитро
Североморск,Мурманская область,"Инвитро, Хеликс"
Северск,Томская область,Инвитро
Сергиевск,Самарская область,Инвитро
Сердобск,Пензенская область,Хеликс
Сим,Челябинская область,Инвитро
Симферополь,Республика Крым,"Инвитро, Хеликс"
Славянск-на-Кубани,Краснодарский край,КДЛ
Смоленск,Смоленская область,"Инвитро, Хеликс"
Смоленское,Алтайский край,Инвитро
Смышляевка,Самарская область,Инвитро
Снежинск,Челябинская область,"Инвитро, Хеликс"
Собинка,Владимирская область,Инвитро
Советск,Калининградская область,Инвитро
Солнечнодольск,Ставропольский край,Инвитро
Соль-Илецк,Оренбургская область,Инвитро
Сорочинск,Оренбургская область,Инвитро
Сочи,Краснодарский край,КДЛ
Спасск-Дальний,Приморский край,Инвитро
Ставрополь,Ставропольский край,"Инвитро, КДЛ, Хеликс"
Старый Крым,Республика Крым,Хеликс
Старый Оскол,Белгородская область,Инвитро
Стерлитамак,Республика Башкортостан,КДЛ
Строитель,Белгородская область,Инвитро
Ступино,Московская область,Медси
Судогда,Владимирская область,Инвитро
Сургут,Республика Башкортостан,"Инвитро, КДЛ, Хеликс"
Сызрань,Самарская область,Инвитро
Сыктывкар,Республика Коми,"Инвитро, Хеликс"
Таганрог,Ростовская область,КДЛ
Тамбов,Тамбовская область,Инвитро
Тверь,Тверская область,КДЛ
Теберда,Карачаево-Черкесская Республика,Хеликс
Тейково,Ивановская область,Инвитро
Терек,Кабардино-Балкарская Республика,"Инвитро, Хеликс"
Тимашёвск,Краснодарский край,КДЛ
Товарково,Калужская область,Хеликс
Тольятти,Самарская область,"Инвитро, Хеликс"
Томск,Томская область,Инвитро
Торбеево,Республика Мордовия,Инвитро
Тоцкое,Оренбургская область,Инвитро
Троицк,Челябинская область,Инвитро
Трёхгорный,Челябинская область,Инвитро
Туапсе,Краснодарский край,КДЛ
Тула,Тульская область,Инвитро
Тырныауз,Кабардино-Балкарская Республика,"Инвитро, Хеликс"
Тюмень,Московская область,КДЛ
Узловая,Тульская область,Инвитро
Улан-Удэ,Республика Бурятия,Инвитро
Ульяновск,Ульяновская область,"Инвитро, Хеликс"
Унеча,Брянская область,Хеликс
Урай,Ханты-Мансийский АО,Инвитро
Урюпинск,Волгоградская область,Инвитро
Усолье-Сибирское,Иркутская область,Инвитро
Уссурийск,Приморский край,Инвитро
Усть-Джегута,Карачаево-Черкесская Республика,"Инвитро, Хеликс"
Усть-Илимск,Иркутская область,Инвитро
Усть-Катав,Челябинская область,Инвитро
Уфа,Республика Башкортостан,КДЛ
Ухта,Республика Коми,"Инвитро, Хеликс"
Учкекен,Карачаево-Черкесская Республика,Хеликс
Феодосия,Республика Крым,"Инвитро, Хеликс"
Фурманов,Ивановская область,Инвитро
Хабаровск,Хабаровский край,"Инвитро, Хеликс"
Ханты-Мансийск,Ханты-Мансийский АО,Инвитро
Хасавюрт,Республика Дагестан,Инвитро
Химки,Московская область,КДЛ
Чапаевск,Самарская область,Инвитро
Чебаркуль,Челябинская область,Инвитро
Чебоксары,Чувашская Республика,"Инвитро, Хеликс"
Челябинск,Челябинская область,"Инвитро, Хеликс"
Черемхово,Иркутская область,Инвитро
Череповец,Вологодская область,Хеликс
Черкесск,Карачаево-Черкесская Республика,"Инвитро, КДЛ, Хеликс"
Черняховск,Калининградская область,"Инвитро, Хеликс"
Чита,Забайкальский край,Инвитро
Чудово,Новгородская область,Хеликс
Шадринск,Курганская область,Инвитро
Шахты,Ростовская область,КДЛ
Шебекино,Белгородская область,Инвитро
Шумиха,Курганская область,Инвитро
Шуя,Ивановская область,Инвитро
Щучье,Курганская область,Инвитро
Щёкино,Тульская область,Инвитро
Щёлково,Московская область,КДЛ
Элиста,Республика Калмыкия,Инвитро
Энгельс,Саратовская область,КДЛ
Югорск,Ханты-Мансийский АО,Инвитро
Южноуральск,Челябинская область,Инвитро
Юрьев-Польский,Владимирская область,Инвитро
Яблоновский,Республика Адыгея,"Инвитро, Хеликс"
Якутск,Республика Саха (Якутия),Инвитро
Ялта,Республика Крым,"Инвитро, Хеликс"
Янино,Ленинградская область,КДЛ
Ярославль,Ярославская область,КДЛ
Ярцево,Смоленская область,"Инвитро, Хеликс"
